Location Code,Partner Code,Name,Type,Description,Phone Number,Fax Number,Delivery Point Id,Work Centre Id,Hatch Description,Address Line 1,Suburb,State,Postcode,Country Name,Country Code,Address Line 2,Lat,Lon,Distance
250261_PO,AP,BATLOW LPO,PO,Post Office,(02) 6949 1094,(02)6949 1094,37885655,250261,NA,3-5 Mayday Road,BATLOW,NSW,2730,Australia,AU,NA,-35.520178,148.14524,66.28852522
246705_PO,AP,LOCKHART LPO,PO,Post Office,(02) 6920 5596,(02)6013 9641,82551219,246705,NA,75 Green Street,LOCKHART,NSW,2656,Australia,AU,NA,-35.220825,146.716695,68.38658584
233787_PO,AP,GANMAIN LPO,PO,Post Office,(02) 6927 6301,(02)6927 6352,46260738,233787,NA,53 Lake Street,GANMAIN,NSW,2702,Australia,AU,NA,-34.792419,147.038532,68.92005897
246721_PO,AP,TUMUT POST SHOP,PO,Post Office,13 13 18,(02)6947 3464,62326853,246721,NA,82-84 Wynyard Street,TUMUT,NSW,2720,Australia,AU,NA,-35.30156878,148.2236109,69.05256658
236259_PO,AP,JINGELLIC LPO,PO,Post Office,(02) 6037 1320,(02)6037 1520,54161217,236259,NA,3208 River Road,JINGELLIC,NSW,2642,Australia,AU,NA,-35.925539,147.69849,72.13027016
249797_PO,AP,WALLA WALLA LPO,PO,Post Office,(02) 6029 2300,(02)6029 2550,38201746,249797,NA,85 Commercial Street,WALLA WALLA,NSW,2659,Australia,AU,NA,-35.767506,146.900098,72.29660362
250341_PO,AP,TUMBARUMBA LPO,PO,Post Office,(02) 6948 2268,(02)6948 3235,47471091,250341,NA,55 Murray Street,TUMBARUMBA,NSW,2653,Australia,AU,NA,-35.778002,148.012309,72.31565822
233883_PO,AP,GEROGERY CPA,PO,Community Postal Agency,(02) 6026 0540,,47471397,233883,NA,1 Main Street,GEROGERY,NSW,2642,Australia,AU,NA,-35.836538,146.994147,72.65170101
230797_PO,AP,COOLAC CPA,PO,Community Postal Agency,(02) 6945 3208,(02)6945 3296,85796620,230797,NA,427 Coolac Road,COOLAC,NSW,2727,Australia,AU,NA,-34.939684,148.162641,75.56567621
346511_PO,AP,WALWA LPO,PO,Post Office,(02) 6037 1301,,52880260,346511,NA,47 Main Street,WALWA,VIC,3709,Australia,AU,NA,-35.963618,147.73668,77.22066435
247388_PO,AP,WALBUNDRIE LPO,PO,Post Office,(02) 6029 9003,(02)6029 9077,50188626,247388,NA,1 Billabong Street,WALBUNDRIE,NSW,2642,Australia,AU,NA,-35.690312,146.72185,79.53401622
276592_PO,AP,BOREE CREEK CPA,PO,Community Postal Agency,(02) 6927 1500,,26342922,276592,NA,101 Richmond Street,BOREE CREEK,NSW,2652,Australia,AU,NA,-35.10836219,146.609326,80.58120479
245913_PO,AP,TALBINGO LPO,PO,Post Office,(02) 6949 5217,(02)6949 5217,88448405,245913,NA,Talbingo Shopping Centre,TALBINGO,NSW,2720,Australia,AU,Shop 4 49 Lampe Street,-35.58259381,148.2977807,81.66980054
228785_PO,AP,BURRUMBUTTOCK LPO,PO,Post Office,(02) 6029 3240,(02)6029 3240,33790112,228785,NA,Lot 2 Urana Road,BURRUMBUTTOCK,NSW,2642,Australia,AU,NA,-35.83463243,146.8044666,83.67592156
243248_PO,AP,RAND LPO,PO,Post Office,(02) 6029 5229,(02)6029 5229,28010281,243248,NA,20 Railway Street,RAND,NSW,2642,Australia,AU,NA,-35.58979194,146.5779265,86.14119707
234755_PO,AP,GRONG GRONG LPO,PO,Post Office,(02) 6956 2101,(02)6956 2294,97595782,234755,NA,34 Junee Street,GRONG GRONG,NSW,2652,Australia,AU,NA,-34.738296,146.783554,88.35797856
236240_PO,AP,JINDERA LPO,PO,Post Office,(02) 6026 3201,(02)6026 3201,71294254,236240,NA,97 Urana Street,JINDERA,NSW,2642,Australia,AU,NA,-35.95438,146.888905,88.82464968
231052_PO,AP,COOTAMUNDRA POST SHOP,PO,Post Office,13 13 18,(02)6942 1638,57281693,231052,NA,90 Wallendoon Street,COOTAMUNDRA,NSW,2590,Australia,AU,NA,-34.639504,148.024659,90.0647605
262705_PO,AP,TOOMA CPA,PO,Community Postal Agency,(02) 6948 4483,,37299261,262705,NA,8 School Lane,TOOMA,NSW,2642,Australia,AU,NA,-35.965713,148.057638,90.96588121
276699_PO,AP,THURGOONA CPA,PO,Community Postal Agency,(02) 6043 2867,(02)6043 1485,NA,276699,NA,Shop 9 Shuter Avenue,THURGOONA,NSW,2640,Australia,AU,NA,-36.04348542,146.9902543,92.45990131
345711_PO,AP,TINTALDRA LPO,PO,Post Office,(02) 6077 9201,(02)6077 9201,72084830,345711,NA,3 Main Street,TINTALDRA,VIC,3708,Australia,AU,NA,-36.046948,147.931662,92.65784322
355258_PO,AP,BELLBRIDGE CPA,PO,Community Postal Agency,(02) 6026 4001,,50653290,355258,NA,3 Murray Place,BELLBRIDGE,VIC,3691,Australia,AU,NA,-36.099412,147.060969,95.40648415
237593_PO,AP,LAVINGTON POST SHOP,PO,Post Office,13 13 18,(02)6025 3840,54694571,237593,Adjacent to PO Boxes,Lavington Shopping Centre,LAVINGTON,NSW,2641,Australia,AU,Shop 77 351 Griffith Road,-36.04911165,146.9349743,95.40842641
245884_PO,AP,TEMORA POST SHOP,PO,Post Office,13 13 18,(02)6977 4569,49532394,245884,NA,167 Hoskins Street,TEMORA,NSW,2666,Australia,AU,NA,-34.447129,147.534319,95.70806153
261454_PO,AP,JUGIONG CPA,PO,Community Postal Agency,(02) 6945 4276,,69474296,261454,NA,122 Riverside Drive,JUGIONG,NSW,2726,Australia,AU,NA,-34.821847,148.345923,96.73872673
327003_PO,AP,BETHANGA LPO,PO,Post Office,(02) 6026 4223,(02)6026 4223,81662587,327003,NA,1 Jobling Street,BETHANGA,VIC,3691,Australia,AU,NA,-36.124416,147.098028,96.79311627
225197_PO,AP,ALBURY NORTH LPO,PO,Post Office,(02) 6025 1264,(02)6025 1264,77345022,225197,NA,881 Mate Street,NORTH ALBURY,NSW,2640,Australia,AU,NA,-36.0626648,146.9313899,96.87476442
245171_PO,AP,STOCKINBINGAL LPO,PO,Post Office,(02) 6943 1510,(02)6943 1510,46706096,245171,NA,30 Martin Street,STOCKINBINGAL,NSW,2725,Australia,AU,NA,-34.499715,147.882292,97.4632469
225189_PO,AP,ALBURY EAST LPO,PO,Post Office,(02) 6023 3916,(02)6023 3917,80975239,225189,NA,561 Schubach Street,ALBURY,NSW,2640,Australia,AU,NA,-36.079158,146.929084,98.57130514
225170_PO,AP,ALBURY POST SHOP,PO,Post Office,13 13 18,(02)6021 0506,68850467,225170,NA,570 Dean Street,ALBURY,NSW,2640,Australia,AU,NA,-36.080316,146.91521,99.30127554
254262_PO,AP,WEST ALBURY LPO,PO,Post Office,(02) 6041 1566,(02)6041 1237,49616597,254262,NA,997 Pemberton Street,ALBURY,NSW,2640,Australia,AU,NA,-36.073862,146.891133,99.7877063
360743_PO,AP,EBDEN LPO,PO,Post Office,(02) 6020 6122,(02)6020 6149,31654872,360743,NA,70 Bonegilla Road,EBDEN,VIC,3691,Australia,AU,NA,-36.135274,147.008418,100.9357696
240792_PO,AP,NARRANDERA POST SHOP,PO,Post Office,13 13 18,(02)6959 2644,92748308,240792,NA,140 East Street,NARRANDERA,NSW,2700,Australia,AU,NA,-34.747201,146.552662,103.5611789
225795_PO,AP,BALLDALE LPO,PO,Post Office,(02) 6035 1201,(02)6035 1201,65801904,225795,NA,Lot 628 Railway Street,BALLDALE,NSW,2646,Australia,AU,NA,-35.84539795,146.5186156,104.3529192
349288_PO,AP,TALLANGATTA LPO,PO,Post Office,13 13 18,(02)6071 3547,59598870,349288,NA,29 Towong Street,TALLANGATTA,VIC,3700,Australia,AU,NA,-36.216396,147.178957,104.4358099
347637_PO,AP,WODONGA POST SHOP,PO,Post Office,13 13 18,(02)6056 2876,69602753,347637,On High Street,196-198 High Street,WODONGA,VIC,3690,Australia,AU,NA,-36.123167,146.888482,104.6285984
347645_PO,AP,WODONGA PLAZA LPO,PO,Post Office,(02) 6024 7000,(02)6056 6177,37303093,347645,NA,Wodonga Plaza Shopping Complex,WODONGA,VIC,3690,Australia,AU,Shop 45 55-71 Elgin Boulevard,-36.12043679,146.8815872,104.6760376
338300_PO,AP,BANDIANA MILPO LPO,PO,Post Office,(02) 6024 2500,(02)6024 2500,81117760,338300,NA,4190 Anzac Parade,BANDIANA,VIC,3691,Australia,AU,NA,-36.14339148,146.9215795,105.1640961
327089_PO,AP,BIRALLEE PARK LPO,PO,Post Office,13 13 18,(02)6059 6446,74573239,327089,NA,Birallee Park Shopping Centre,WEST WODONGA,VIC,3690,Australia,AU,Shop 14 3 Birallee Place,-36.12830639,146.8649666,106.187413
251942_PO,AP,HOWLONG LPO,PO,Post Office,(02) 6026 5208,(02)6026 8042,48165194,251942,NA,55 Hawkins Street,HOWLONG,NSW,2643,Australia,AU,NA,-35.979359,146.627179,106.343488
327193_PO,AP,CORRYONG LPO,PO,Post Office,(02) 6076 1351,(02)6076 1351,82392874,327193,NA,44 Hanson Street,CORRYONG,VIC,3707,Australia,AU,NA,-36.195627,147.904576,106.673237
262377_PO,AP,WALLENDBEEN CPA,PO,Community Postal Agency,(02) 6943 2538,,76890746,262377,NA,27 Young Street,WALLENDBEEN,NSW,2588,Australia,AU,NA,-34.529788,148.163765,107.389961
353500_PO,AP,BARANDUDA CPA,PO,Community Postal Agency,(02) 6020 8003,(02)6020 8006,98828094,353500,NA,4 Sage Court,BARANDUDA,VIC,3691,Australia,AU,NA,-36.179848,146.947152,107.7482989
247185_PO,AP,URANA LPO,PO,Post Office,(02) 6920 8227,(02)6920 8109,46153228,247185,NA,21 Anna Street,URANA,NSW,2645,Australia,AU,NA,-35.330548,146.265775,108.6306354
229040_PO,AP,CABRAMURRA LPO,PO,Post Office,(02) 6453 8837,(02)6453 8836,50529761,229040,NA,1 Murralin Road,CABRAMURRA,NSW,2629,Australia,AU,NA,-35.93621528,148.3814049,108.6694384
225381_PO,AP,ARIAH PARK LPO,PO,Post Office,(02) 6974 1099,(02)6974 1535,87552789,225381,NA,44 Coolamon Street,ARIAH PARK,NSW,2665,Australia,AU,NA,-34.347755,147.220727,108.8006935
345172_PO,AP,TANGAMBALANGA LPO,PO,Post Office,(02) 6027 3261,(02)6027 3581,74908346,345172,NA,56 Kiewa East Road,TANGAMBALANGA,VIC,3691,Australia,AU,NA,-36.252541,147.030525,112.2550685
361121_PO,AP,KIEWA LPO,PO,Post Office,(02) 6027 3325,,30906239,361121,NA,31 Kiewa East Road,KIEWA,VIC,3691,Australia,AU,NA,-36.254873,147.016416,112.9453898
326211_PO,AP,BARNAWARTHA LPO,PO,Post Office,(02) 6026 7202,(02)6026 7202,77157789,326211,NA,37 High Street,BARNAWARTHA,VIC,3688,Australia,AU,NA,-36.105143,146.673669,113.9068925
246422_PO,AP,ARDLETHAN LPO,PO,Post Office,(02) 6978 2099,(02)6978 2097,46550199,246422,NA,10 Yithan Street,ARDLETHAN,NSW,2665,Australia,AU,NA,-34.356886,146.903325,117.2224576
268883_PO,AP,HARDEN LPO,PO,Post Office,(02) 6386 2241,(02)6386 3457,80994225,268883,NA,32 Neill Street,HARDEN,NSW,2587,Australia,AU,NA,-34.553974,148.369172,117.5532546
236769_PO,AP,KHANCOBAN LPO,PO,Post Office,(02) 6076 9440,(02)6076 9440,55089813,236769,NA,Khancoban Shopping Centre,KHANCOBAN,NSW,2642,Australia,AU,1 Mitchell Avenue,-36.216019,148.130309,117.77717
361113_PO,AP,KERGUNYAH LPO,PO,Post Office,(02) 6027 5205,,56194143,361113,NA,10 Kergunyah Road,KERGUNYAH,VIC,3691,Australia,AU,NA,-36.327791,147.029056,120.1731069
241779_PO,AP,OAKLANDS LPO,PO,Post Office,(02) 6035 4264,(02)6035 4164,66748100,241779,NA,31-33 Milthorpe Street,OAKLANDS,NSW,2646,Australia,AU,NA,-35.55790394,146.1654376,120.8291053
312004_PO,AP,CHILTERN LPO,PO,Post Office,(03) 5726 1300,(03)5726 1300,76493557,312004,NA,54 Main Street,CHILTERN,VIC,3683,Australia,AU,NA,-36.149008,146.610213,121.2908003
314747_PO,AP,RUTHERGLEN LPO,PO,Post Office,(02) 6032 9627,(02)6032 9764,60042058,314747,NA,83 Main Street,RUTHERGLEN,VIC,3685,Australia,AU,NA,-36.054595,146.46109,122.9455387
231116_PO,AP,COROWA POST SHOP,PO,Post Office,13 13 18,(02)6033 3310,97990799,231116,NA,117-123 Sanger Street,COROWA,NSW,2646,Australia,AU,NA,-35.99792185,146.3919334,123.619407
246852_PO,AP,YANCO LPO,PO,Post Office,(02) 6955 7228,(02)6955 7462,61544712,246852,NA,18 Main Avenue,YANCO,NSW,2703,Australia,AU,NA,-34.60321,146.410641,123.681159
346394_PO,AP,WAHGUNYAH LPO,PO,Post Office,(02) 6033 1379,,43966736,346394,NA,19a Foord Street,WAHGUNYAH,VIC,3687,Australia,AU,NA,-36.009444,146.393803,124.2842788
347936_PO,AP,YACKANDANDAH LPO,PO,Post Office,(02) 6027 1201,(02)6027 1201,82943758,347936,NA,15 High Street,YACKANDANDAH,VIC,3749,Australia,AU,NA,-36.31292,146.839777,125.2794244
279523_PO,AP,GALONG CPA,PO,Community Postal Agency,(02) 6386 7237,(02)6386 7237,26125833,279523,NA,Lot 20 McMahon Street,GALONG,NSW,2585,Australia,AU,NA,-34.6026002,148.5562133,126.6761131
237649_PO,AP,LEETON POST SHOP,PO,Post Office,13 13 18,(02)6953 4533,75710723,237649,NA,1-3 Kurrajong Avenue,LEETON,NSW,2705,Australia,AU,NA,-34.55176908,146.4063532,127.6893562
227061_PO,AP,BINALONG LPO,PO,Post Office,(02) 6227 4303,(02)6227 4303,32429848,227061,NA,28 Fitzroy Street,BINALONG,NSW,2584,Australia,AU,NA,-34.669759,148.633872,128.0085598
226085_PO,AP,BARMEDMAN LPO,PO,Post Office,(02) 6976 2008,(02)6976 2150,74186653,226085,NA,60 Queen Street,BARMEDMAN,NSW,2668,Australia,AU,NA,-34.144023,147.386184,129.3798698
332216_PO,AP,ESKDALE LPO,PO,Post Office,(02) 6072 0285,(02)6072 0066,44159844,332216,NA,Iga Express,ESKDALE,VIC,3701,Australia,AU,3764 Omeo Highway,-36.4645958,147.2488355,130.2791893
344348_PO,AP,SPRINGHURST LPO,PO,Post Office,(03) 5726 5200,(03)5726 5201,93073886,344348,NA,8 Silo Street,SPRINGHURST,VIC,3682,Australia,AU,NA,-36.185682,146.469572,132.6789555
249594_PO,AP,YOUNG POST SHOP,PO,Post Office,13 13 18,(02)6382 5726,83030503,249594,NA,64 Lynch Street,YOUNG,NSW,2594,Australia,AU,NA,-34.314204,148.298148,134.0763167
382774_PO,AP,DEDERANG CPA,PO,Community Postal Agency,(02) 6028 9555,(02)6028 9556,76826035,382774,NA,4561 Kiewa Valley Highway,DEDERANG,VIC,3691,Australia,AU,NA,-36.48162,147.030708,136.4071673
326561_PO,AP,BEECHWORTH POST SHOP,PO,Post Office,13 13 18,(03)5728 2336,41302606,326561,Ring bell on the door in the lobby,12a Camp Street,BEECHWORTH,VIC,3747,Australia,AU,NA,-36.35996187,146.6880492,136.4360033
360620_PO,AP,DARTMOUTH LPO,PO,Post Office,(02) 6072 4263,(02)6072 4283,65739547,360620,NA,Shop 4 1 Murtagh Place,DARTMOUTH,VIC,3701,Australia,AU,NA,-36.53329755,147.4961288,136.5186159
228013_PO,AP,BOWNING LPO,PO,Post Office,(02) 6227 6103,,77431558,228013,NA,115 Bowning Road,BOWNING,NSW,2582,Australia,AU,NA,-34.767437,148.815012,136.9053882
338570_PO,AP,MITTA MITTA LPO,PO,Post Office,(02) 6072 3470,,80197979,338570,NA,5555 Omeo Highway,MITTA MITTA,VIC,3701,Australia,AU,NA,-36.536803,147.377799,137.0884401
344452_PO,AP,STANLEY CPA,PO,Community Postal Agency,13 13 18,,68371292,344452,NA,12 Beechworth-Stanley Road,STANLEY,VIC,3747,Australia,AU,NA,-36.403985,146.754074,137.7976931
226050_PO,AP,BARELLAN LPO,PO,Post Office,(02) 6963 9499,(02)6963 9580,59748766,226050,NA,108 Yapunyah Street,BARELLAN,NSW,2665,Australia,AU,NA,-34.284665,146.571407,139.7047129
331870_PO,AP,ELDORADO LPO,PO,Post Office,(03) 5725 1592,(03)5725 1592,69190039,331870,NA,1 Mackay Street,ELDORADO,VIC,3746,Australia,AU,NA,-36.309305,146.522245,140.148495
282204_PO,AP,ADAMINABY LPO,PO,Post Office,(02) 6454 1144,(02)6454 2367,85811339,282204,NA,10-12 Denison Street,ADAMINABY,NSW,2629,Australia,AU,NA,-35.99642,148.774276,141.2087259
249463_PO,AP,YASS POST SHOP,PO,Post Office,13 13 18,(02)6226 2722,68579879,249463,Alley way on right side of the building,95-101 Comur Street,YASS,NSW,2582,Australia,AU,NA,-34.842038,148.910963,141.5284482
243678_PO,AP,KIPPAX LPO,PO,Post Office,(02) 6254 8159,(02)6254 7548,42075310,243678,NA,Kippax Fair,HOLT,ACT,2615,Australia,AU,Shop 24 48 Hardwick Crescent,-35.2222849,149.0189782,141.601391
232397_PO,AP,DUFFY LPO,PO,Post Office,(02) 6288 5021,(02)6287 4500,60176152,232397,NA,Duffy Ace Supermarket,DUFFY,ACT,2611,Australia,AU,5 Duffy Place,-35.336587,149.032156,142.4326597
243555_PO,AP,RIVETT LPO,PO,Post Office,(02) 6288 2563,(02)6288 2563,72568429,243555,NA,Rivett Shopping Centre,RIVETT,ACT,2611,Australia,AU,Shop 5 2 Rivett Place,-35.34711613,149.0363549,142.8370394
229999_PO,AP,CHARNWOOD LPO,PO,Post Office,13 13 18,(02)6259 9567,68043623,229999,NA,Fadco Building,CHARNWOOD,ACT,2615,Australia,AU,Shop 4 55 Charnwood Place,-35.20465293,149.0340686,143.124719
235408_PO,AP,HAWKER LPO,PO,Post Office,(02) 5116 2069,,65705272,235408,NA,Hawker Shopping Centre,HAWKER,ACT,2614,Australia,AU,Shop 5 38 Hawker Place,-35.24352087,149.0440502,143.7209025
248356_PO,AP,WESTON CREEK POST SHOP,PO,Post Office,13 13 18,(02)6287 1897,64551095,248356,Early collection from a hatch near the PO boxes,6 Trenerry Street,WESTON,ACT,2611,Australia,AU,NA,-35.341013,149.051884,144.2305233
240514_PO,AP,MURRAMI LPO,PO,Post Office,(02) 6955 2240,,63197734,240514,NA,3 Wattle Avenue,MURRAMI,NSW,2705,Australia,AU,NA,-34.425427,146.301026,144.2797342
233533_PO,AP,FISHER LPO,PO,Post Office,(02) 6288 1852,(02)6288 3777,33325867,233533,NA,Shop 1 1 Fisher Square,FISHER,ACT,2611,Australia,AU,NA,-35.36181838,149.056687,144.7285558
236398_PO,AP,KAMBAH VILLAGE LPO,PO,Post Office,(02) 6231 7615,(02)6156 1561,66723691,236398,NA,Kambah Village Shopping Centre,KAMBAH,ACT,2902,Australia,AU,Shop 1 5 Primmer Circuit,-35.37990844,149.0577045,144.9050131
247863_PO,AP,WARAMANGA LPO,PO,Post Office,(02) 6288 1396,(02)6288 0691,62309112,247863,NA,Waramanga Shopping Centre,WARAMANGA,ACT,2611,Australia,AU,Shop 5 1 Waramanga Place,-35.35249228,149.0595753,144.9578337
226480_PO,AP,BELCONNEN POST SHOP,PO,Post Office,13 13 18,(02)6253 0334,52357939,226480,NA,Shop 23 20 Benjamin Way,BELCONNEN,ACT,2617,Australia,AU,NA,-35.238567,149.067156,145.8476206
248524_PO,AP,WHITTON LPO,PO,Post Office,(02) 6955 2640,(02)6955 2640,66287007,248524,NA,2 Hulong Street,WHITTON,NSW,2705,Australia,AU,NA,-34.517605,146.183371,145.9114581
246457_PO,AP,TUGGERANONG POST SHOP,PO,Post Office,13 13 18,(02)6293 4914,84961791,246457,NA,South Point,GREENWAY,ACT,2900,Australia,AU,Shop 75 210 Anketell Street,-35.4158403,149.0675016,146.0401396
236080_PO,AP,JAMISON CENTRE POST SHOP,PO,Post Office,13 13 18,(02)6253 0693,90544805,236080,In the PO Box Suite,8 Jamison Centre,MACQUARIE,ACT,2614,Australia,AU,NA,-35.25285,149.072283,146.226998
235141_PO,AP,HALL LPO,PO,Post Office,(02) 6230 2829,(02)6230 2869,94507542,235141,NA,4 Victoria Street,HALL,ACT,2618,Australia,AU,NA,-35.170681,149.070452,146.7872418
265738_PO,AP,CURTIN LPO,PO,Post Office,(02) 6281 1062,(02)6285 3247,61751445,265738,NA,Curtin Shopping Centre,CURTIN,ACT,2605,Australia,AU,38 Curtin Place,-35.325692,149.082492,146.9847663
246078_PO,AP,THARWA LPO,PO,Post Office,(02) 6237 5142,(02)6103 9010,90989128,246078,NA,11 North Street,THARWA,ACT,2620,Australia,AU,NA,-35.50893,149.066805,147.1227502
243133_PO,AP,QUANDIALLA LPO,PO,Post Office,(02) 6347 1305,,39270985,243133,NA,Lot 14 Second Street,QUANDIALLA,NSW,2721,Australia,AU,NA,-34.01086447,147.7930298,147.1342792
248831_PO,AP,WODEN POST SHOP,PO,Post Office,13 13 18,(02)6260 4507,49081435,248831,At the back door of the Post Office,Shop 4 15 Bowes Place,PHILLIP,ACT,2606,Australia,AU,NA,-35.344587,149.084828,147.2260234
